id,name_en,query,status,result_type,formatted_address,place_id,latitude,longitude,applied
BD-WB-0048,Gorai,"Gorai, River, Bangladesh",OK,establishment|natural_feature,"Madhumati River, Bangladesh",ChIJXxLg1fKX_jkRosqr8vXE1Cc,23.45216245500611,89.43493576077148,yes
BD-WB-0049,Kopotakho (Kabadak),"Kopotakho (Kabadak), River, Bangladesh",OK,establishment|natural_feature,"Kopotakkho River, Bangladesh",ChIJF5XiRpNo_zkRSuM_i54JQXA,22.871482,89.1283158,yes
BD-WB-0050,Mathabhanga,"Mathabhanga, River, Bangladesh",OK,political|sublocality|sublocality_level_1,"Mathabhanga, Khulna, Bangladesh",ChIJnd-MnpOP_zkR7ftvbvufMeo,22.7816528,89.5627331,yes
BD-WB-0051,Nabaganga,"Nabaganga, River, Bangladesh",OK,establishment|natural_feature,"Nabaganga River, Bangladesh",ChIJ75LoFqqr_zkRuM9cWMIaSaM,23.3277415026448,89.43563191241512,yes
BD-WB-0052,Old Brahmaputra,"Old Brahmaputra, River, Bangladesh",OK,establishment|natural_feature,"Old Brahmaputra River, Bangladesh",ChIJrQ8PU1YZVDcRFoDp2gEznw0,24.0369155,90.9800813,yes
BD-WB-0053,Bangali,"Bangali, River, Bangladesh",OK,establishment|natural_feature,"Bangali River, Bangladesh",ChIJi5h8c0-x_TkRMA7fvUYDJjw,24.68009569735841,89.45965234888291,yes
BD-WB-0054,Buriganga,"Buriganga, River, Bangladesh",OK,establishment|natural_feature,"Buriganga River, Bangladesh",ChIJo3yQHbywVTcRPGTQT9FflvY,23.70325755377805,90.39846432602914,yes
BD-WB-0055,Shitalakshya,"Shitalakshya, River, Bangladesh",OK,establishment|natural_feature,"Shitalakshya River, Bangladesh",ChIJ1wUg52SxVTcRyhvmc1Th6W8,23.92286230370932,90.58264810231825,yes
BD-WB-0056,Turag,"Turag, River, Bangladesh",OK,establishment|natural_feature,"Turag River, Bangladesh",ChIJi20FuUHEVTcRL-D4cg5-T18,23.89231669009527,90.34189978608009,yes
BD-WB-0057,Kushiyara,"Kushiyara, River, Bangladesh",OK,establishment|natural_feature,Kushiyara River,ChIJlwWHCD6vUTcRM0jTVvAnWks,24.76056895921016,92.10747489518872,yes
BD-WB-0058,Surma,"Surma, River, Bangladesh",OK,establishment|natural_feature,Surma River,ChIJA7FQ_mwrVzcRBniwbjsSv7c,24.9886970798154,91.8176469249846,yes
BD-WB-0059,Begabati,"Begabati, River, Magura, Magura Sadar, Bangladesh",OK,locality|political,"Magura, Bangladesh",ChIJBUa9dHJW_jkRi6Y1N-qnsrk,23.4857953,89.41900849999999,yes
BD-WB-0060,Bhadra,"Bhadra, River, Jessore; Khulna, Keshabpur; Dacope; Dumuria, Bangladesh",OK,establishment|natural_feature,"Bhadra River, Bangladesh",ChIJaeTSu29u_zkRYGnW0Y4v7A4,22.88467384021408,89.23482640480334,yes
BD-WB-0061,Dhala,"Dhala, River, Sylhet, Companiganj, Bangladesh",OK,establishment|natural_feature,"Dhalai River, Bangladesh",ChIJefC1oPadUTcRuckSjkkimE8,24.4047773868517,91.83671674962861,yes
BD-WB-0062,Dhepa,"Dhepa, River, Dinajpur, Kaharole, Bangladesh",OK,establishment|natural_feature,"Dhepa River, Bangladesh",ChIJR4FhUOGt5DkRkkydXKSqLA8,25.76622585516166,88.67231821757346,yes
BD-WB-0063,Ghoramara,"Ghoramara, River, Panchagarh, Panchagarh Sadar, Bangladesh",OK,locality|political,"Panchagarh, Bangladesh",ChIJ15yg-eKL5DkRb57QA0NjUg0,26.3339777,88.5548408,yes
BD-WB-0064,Hawrah,"Hawrah, River, Brahmanbaria, Akhaura, Bangladesh",OK,locality|political,"Akhaura, Bangladesh",ChIJdTWuwf0JVDcRFV0W1m9Olt4,23.8673991,91.2081173,yes
BD-WB-0065,Jhenai,"Jhenai, River, Jamalpur; Tangail, Melandaha; Sarishabari; Kalihati, Bangladesh",OK,locality|political,"Melandaha, Bangladesh",ChIJP0W64jh3_TkRCkyQjODkWnQ,24.9817005,89.8291768,yes
BD-WB-0066,Kakri,"Kakri, River, Cumilla, Chauddagram, Bangladesh",OK,establishment|natural_feature,"Kakri River, Bangladesh",ChIJaR7k5y5_UzcRIy0Oietn10E,23.33551760129697,91.25333155662278,yes
BD-WB-0067,Nitai,"Nitai, River, Mymensingh, Dhobaura, Bangladesh",OK,establishment|natural_feature,"Nitai River, Bangladesh",ChIJNQ4DfzukVzcRKH5si35RX_o,25.09594593740226,90.55418941405124,yes
BD-WB-0068,Pagla,"Pagla, River, Nawabganj, Shibganj, Bangladesh",OK,administrative_area_level_3|political,"Shibganj Upazila, Bangladesh",ChIJQWKRZadS-jkRZAPxUUlehr0,24.6837815,88.15721370000001,yes
BD-WB-0069,Sonai-Bardal,"Sonai-Bardal, River, Sylhet, Fenchuganj, Bangladesh",OK,locality|political,"Fenchuganj, Bangladesh",ChIJbzhhlH-lUTcRHfBN54AG7MA,24.69583,91.944132,yes
BD-WB-0070,Tangon,"Tangon, River, Dinajpur; Thakurgaon, Bochaganj; Thakurgaon, Bangladesh",OK,locality|political,"Bochaganj, Bangladesh",ChIJO6MNpDXI5DkR68oRQbl4df0,25.7997217,88.46218909999999,yes
BD-WB-0071,Tongi Khal,"Tongi Khal, River, Dhaka, Uttara, Bangladesh",OK,political|sublocality|sublocality_level_1,"Uttara, Dhaka, Bangladesh",ChIJ3XRwXtDFVTcRxwCfBAOIxdE,23.8758547,90.3795438,yes
