bwdb_serial,river_name_en,bwdb_zone,border_river,flow_type,source
287,Mukteshwari Teka,SW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
288,Musakhan,NW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
291,Nagar Lower (Bogra-Natore),NW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
292,Nagar Upper,NW,Yes,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
293,Nagda Khal,NC,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
294,Naleya,NW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
295,Nalshisa,NW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
296,Narad,NW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
297,Narasunda,NE,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
298,Naria Khal,SW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
299,Narta,NW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
300,Nayagang (Jaintipur),NE,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
301,Nayagang (Khasiamara),SW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
302,Nehalganj-Rangmatia,NE,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
303,Nitai,SW,Yes,SEASONAL,https://en.bwdb.gov.bd/rivers-information
304,Nokla-Sundrakashi,NE,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
305,Nolzur,NE,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
306,Nuljuri Khal,NE,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
307,Nunda-Utra,SW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
308,Nungla,NC,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
309,Nungli,NC,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
311,Old Dhaleshwari,NC,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
312,Old Pashur,SW,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
313,Old Surma,NE,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
314,Pabijuri-Kushi Gang Kushiya,NE,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
316,Pagaria-shila,NC,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
317,Pagla,NW,Yes,SEASONAL,https://en.bwdb.gov.bd/rivers-information
318,Paharia,NC,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
319,Palang,SW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
320,Pandab,SW,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
321,Panguchi,SW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
322,Paruli Khal,NC,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
323,Pashur,NC,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
324,Patharghata,NW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
325,Pathraj,NW,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
326,Patnai Paikar Tala,NE,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
327,Patuakhali,SW,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
328,Petki,NW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
329,Piyain (Sunamganj-Netrokona),NE,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
330,Piyain (Sylhet-Sunamganj),NE,Yes,SEASONAL,https://en.bwdb.gov.bd/rivers-information
331,Polymari,NW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
332,Pora Khal - Khaiya,NE,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
334,Pungli,NC,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
335,Puttymari,SW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
336,Rabnabad,SW,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
337,Raimangal,SW,Yes,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
338,Rakhain,SW,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
339,Rakkhusini-Tentulia (Tulai),NW,Yes,SEASONAL,https://en.bwdb.gov.bd/rivers-information
340,Ramchandi,NW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
341,Ratnai (Lalmonirhat),NW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
342,Rupsa (Khulna),SE,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
343,Saiduli-Barni,NE,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
344,Salda,SE,Yes,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
